pair,date,direction,abs_z,z_velocity,spread_vol,half_life,spread_slope,corr_recent,beta,coint_pvalue,market_vol,ret_a_5d,ret_b_5d,mom_a_252,mom_b_252,mom_rel,corr_baseline,corr_change,comembership,coint_recent_pvalue,vol_ratio,sector_dispersion,detach_max,adf_stat,hurst,vix_level,vix_change,vol_spike_max,n_pairs_extreme,z_rank,reverted,reverted_5,reverted_20,reverted_safe
CAT/GS,2023-04-27,-1,2.1934041565060647,-0.9919267509807654,0.03364718426965873,50.429268310886684,-0.007488563525584524,0.631106143746243,0.576,0.0003,0.00771968976944465,-0.030962638318381863,0.008496208383227177,0.04276281389074921,0.11435210646598293,-0.07158929257523372,0.6105379250616911,0.02056821868455183,0.6825396825396826,0.5820567263032229,1.1832494549809125,0.034283524176361775,0.03349895091437649,-1.8557064012566271,0.39444266126873184,12.254627597112055,-6.496534055470281,0.9542785988430786,13,0.7735849056603774,0,0,0,0
CAT/MS,2023-04-27,-1,2.7134185567744895,-1.7867129431705042,0.02238146998434299,46.997986460076724,-0.005950128283630977,0.6092892588026311,0.727,0.0005,0.00771968976944465,-0.030962638318381863,-0.001881700514667628,0.04276281389074921,0.12714554942291478,-0.08438273553216558,0.6310065975863385,-0.021717338783707407,0.6507936507936508,0.5695789788896929,1.1240968019298676,0.034283524176361775,0.02358498871623904,-1.7926081455225613,0.3384349366552998,12.254627597112055,-6.496534055470281,0.9542785988430786,13,0.8867924528301887,0,0,1,0
AMZN/SNPS,2023-04-27,1,2.3997786529783016,0.8343904308474965,0.04259069961184261,27.21063257982282,0.006670499616808565,0.5139391193655306,0.336,0.0227,0.00771968976944465,0.056280377384725355,-0.02458729062259124,-0.23844032117423097,0.2640487426351745,-0.5024890638094055,0.6683634445385186,-0.154424325172988,0.8571428571428571,0.4031803850152456,1.4895871356089194,0.0772007060247538,0.10855974288753867,-1.4967049245304909,0.47099598724362396,12.254627597112055,-6.496534055470281,1.0002781491164596,13,0.8301886792452831,0,0,0,0
TXN/KLAC,2023-04-27,-1,3.046832190120308,-3.511731736100984,0.02190794944158093,10.474449997087765,-0.021632926832091337,0.6868506196966959,0.451,0.0164,0.00771968976944465,-0.06641983219334335,0.023490233768881374,0.009385160145094495,0.21397376741355423,-0.20458860726845973,0.8183011567329125,-0.13145053703621656,1.0,0.15036900282429688,0.6347935266275552,0.05719000117025921,0.08585601006991472,-1.9261011689074978,0.323316650532703,12.254627597112055,-6.496534055470281,1.0729116502318652,13,0.9622641509433962,0,0,0,0
MS/URI,2023-04-27,1,2.356955046112511,1.4225512545402186,0.026048609056687204,13.058252290831538,0.0016894184575025424,0.7146737507355009,0.53,0.0063,0.00771968976944465,-0.001881700514667628,-0.0486224030288982,0.12714554942291478,0.17156081118286703,-0.04441526175995225,0.7120457399125755,0.0026280108229254084,0.7857142857142857,0.07754121709700482,0.6302138488251653,0.04825023821575631,0.11261866653105468,-2.183042068870295,0.3705814429372689,12.254627597112055,-6.496534055470281,1.0113675967092548,13,0.8113207547169812,0,0,1,0
MET/USB,2023-04-27,1,2.481825141474346,-0.6224783120261081,0.04293531501973181,95.76302724235222,0.005582130487147797,0.7896299187861084,0.785,0.0375,0.00771968976944465,-0.008256317390630041,-0.06507536681697301,-0.07168628269070032,-0.38324074979601885,0.31155446710531853,0.7322976035378488,0.05733231524825966,0.7619047619047619,0.807146057821442,0.6728358679673384,0.04825023821575631,0.016337131383144188,-1.136460280096668,0.5597918740703736,12.254627597112055,-6.496534055470281,0.7877348976607285,13,0.8490566037735849,1,0,1,1
AMT/CCI,2023-04-28,1,2.5095872399391883,-0.6822673741074654,0.04332268549909903,45.777708784114196,0.004805837894599265,0.822782077762907,1.492,0.0145,0.007476735958027682,0.0012238761768372797,-0.023127928870489534,-0.18477836504216683,-0.38692101216436825,0.20214264712220142,0.869134712060133,-0.046352634297226025,1.0,0.44620594382109674,0.9340084686600948,0.047887014774949124,0.0875604803676242,-0.9059919893730903,0.4086697934802505,11.868950378061307,-6.95298033613102,0.8941102986977096,7,0.9622641509433962,0,0,0,0
NEE/SO,2023-04-28,-1,2.386933114791842,0.37471827127557855,0.025604511373300682,31.446932349719425,-0.006655341316612617,0.7860894844586305,0.988,0.0187,0.007476735958027682,-0.03033294657473551,-0.0008152161248053957,0.06685921726881627,0.03984965469254309,0.027009562576273183,0.6970756121440902,0.08901387231454028,0.8333333333333334,0.4925692913938746,1.1513281968364184,0.014694517782222733,-0.0012801044080994473,-0.6299193185498131,0.2999181718426524,11.868950378061307,-6.95298033613102,0.8675543878827514,7,0.9245283018867925,0,0,1,0
PH/ETN,2023-05-02,-1,2.1229436957618,-0.7063138448468891,0.027843586469790686,14.814465131161898,-0.0032348287892374327,0.8151296766435172,0.92,0.012,0.0076317051136277686,0.024638083566901336,0.056211141292883404,0.200419733207573,0.1991269061091261,0.0012928270984469137,0.8304538031880336,-0.015324126544516425,0.9126984126984127,0.18918759503961063,1.0322192356185351,0.04447125671275917,0.13272586842536926,-1.5430984498622484,0.4583838513105045,12.114956286023405,-6.616530509392922,1.0577649567328136,7,0.8867924528301887,1,1,1,1
APH/ETN,2023-05-02,-1,2.0148028677987018,-0.4410882906542428,0.0321752549258384,17.29619814104861,-0.005278302350853698,0.6113191485234234,0.81,0.0164,0.0076317051136277686,0.00652335428941031,0.056211141292883404,0.06398375480864704,0.1991269061091261,-0.13514315130047905,0.7400764759260305,-0.12875732740260715,0.9206349206349206,0.3145466866594039,0.6776173371556782,0.06707635734210575,0.11913717763383846,-0.9616934462935928,0.5170284948166606,12.114956286023405,-6.616530509392922,0.9711834693375445,7,0.8679245283018868,0,0,0,0
